X,Y,OBJECTID_12_13,Plant_ID,Plant_Alias,Plant_Label,MW,Gross_MWh,Net_MWh,General_Fuel,Status,STEP_License_Status,Gen_Count,Initial_Start_Date,Online_Year,Retire_Date,Docket_ID,CEC_Sited_Flag,STEP_Project_Type,REAT_ID,WREGIS_ID,County,State_,Peaker,Renewable_Energy,CEC_Jurisdictional_Plant,CEC_Data_Source,Wind_Resource,LRA,Sub_Area,Service_Area,Service_Category,Caliso_Balancing_Authorities,Air_District,Air_Basin,Quad,Senate_District,Assembly_District,Congressional_District,CES30_PercentileRange,CES30_Percentile,Website,CEC_Link,Aerial,C_Comments,Longitude,Latitude,Elevation,Operation_Job,Property_Tax,Capacity_Factor,Income_Percent,Project_Location,Creator,Creator_Date,Last_Editor,Last_Editor_Date,GlobalID
-121.414593194439391,38.348967926783722,11,S0284,"Bruceville Holdings LLC; Bruceville Rd. Solar Facility; Recurrent Bruceville Solar; RE Bruceville",RE Bruceville Solar 1,6.65,11418,11418,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62,,,"<a href="""">Google Earth</a>",,-121.41459319,38.34896793,8.432000,,,0.195468,122,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,7af0837e-dd75-45f4-8d2a-8abe7483ffc0
-121.431291215061748,38.338875250577111,12,S0154,Lawrence Solar Farm Pam,Point Pleasant (Lawrence Solar Farm),1,1786,1775,Solar,Operating,,1,2011-12-30T00:00:00.000Z,2011,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62,,,"<a href="""">Google Earth</a>",,-121.43129122,38.33887525,6.932000,,,0.202072,122,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,da8f27d0-4782-4134-a53d-c7e45010414b
-121.461822394584928,38.283466455719221,13,S0203,Green Acres Solar Facility 2,Green Acres Solar Facility 2,1,2320,2320,Solar,Operating,,1,2012-09-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,50-55%,55,,,"<a href="""">Google Earth</a>",,-121.46182239,38.28346646,2.569744,,,0.264117,92,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,076043e8-2d7f-4f2e-8784-01b7117df401
-121.465785565428632,38.282311506013649,14,S0204,Green Acres Solar Facility 1,Green Acres Solar Facility 1,3,6720,6720,Solar,Operating,,1,2012-09-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,50-55%,55,,,"<a href="""">Google Earth</a>",,-121.46578557,38.28231151,2.432000,,,0.255009,92,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,5d4e3336-af60-46b8-8034-30ab5537b4cc
-121.387563663750811,38.363660724408724,15,S0205,"Recurrent Kammerer Solar; RE Kammerer",RE Kammerer Road 1,6.65,11786,11786,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62,,,"<a href="""">Google Earth</a>",,-121.38756366,38.36366072,10.930568,,,0.201768,122,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,a5adba14-ab2e-4118-8dfd-c9a954af8214
-121.413183967291403,38.365688291285579,16,S0156,"Grundman-Wilkinson Solar Farm; Sacramento Municipal District at Grundman",Grundman-Wilkinson Solar Farm (Bruceville Road),18,35270.560000,35077,Solar,Operating,,1,2011-12-28T00:00:00.000Z,2011,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62,,,"<a href="""">Google Earth</a>",,-121.41318397,38.36568829,8.934953,,,0.221849,122,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,7df99b4c-5f0d-49c7-b316-e8d6dd4a2096
-121.383459132831788,38.363686547862429,17,S0206,,RE Kammerer Road 2,6.65,12212,12212,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62,,,"<a href="""">Google Earth</a>",,-121.38345913,38.36368655,11.529527,,,0.209061,122,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,99d6fbec-59c8-4c9a-8cb0-f97eee7822b3
-121.382282117008529,38.360933675451079,18,S0207,,RE Kammerer Road 3,6.65,12054,12054,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62,,,"<a href="""">Google Earth</a>",,-121.38228212,38.36093368,11.632000,,,0.206356,122,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,8df5df89-0472-47fb-8e9b-b47b8727d236
-121.414983253664801,38.346713759548599,19,S0285,"Bruceville Holdings LLC; Bruceville Rd. Solar Facility; Recurrent Bruceville Solar; RE Bruceville",RE Bruceville Solar 2,6.65,11913,11913,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62,,,"<a href="""">Google Earth</a>",,-121.41498325,38.34671376,8.532001,,,0.203942,122,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,a0389c86-fda4-41b0-a833-555870739c22
-121.409958817013447,38.347635552681474,20,S0286,"Bruceville Holdings LLC; Bruceville Rd. Solar Facility; Recurrent Bruceville Solar; RE Bruceville",RE Bruceville Solar 3,6.65,11879,11879,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62,,,"<a href="""">Google Earth</a>",,-121.40995882,38.34763555,8.832002,,,0.203360,122,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,94012bc4-58ed-4b42-a290-e8185f440806
-121.483198390861034,38.715429026755778,21,G0257,,Rio Linda/ Elverta,560,,,Gas,Unknown,Withdrawn,,,,,"01-AFC-01
",Y,AFC,,,Sacramento,CA,,0,1,,,Sierra,Drum-Rio Oso,Pacific Gas & Electric Company,IOU,CALISO,Sacramento Metro Air Quality Management District,Sacramento Valley,Rio Linda,Senate District 4,Assembly District 7,Congressional District 3,25-30%,29,,,"<a href=""https://earth.google.com/web/@38.7128,-121.4837556,15.18802971a,802.69617589d,35y,0h,45t,0r/data=CjoaOBIyCgAZXkvIBz1bQ0AhcFAM2vVeXsAqHDM4wrA0Mic0Ni4xIk4gMTIxwrAyOScwMS41IlcYAiABKAI"">Google Earth</a>","CECG094. Applicant: Florida Power & Light Energy Inc. Data Adequate, 4/18/2001. AFC filing date: 2/2/2001. Withdrawn date: 8/20/2002.",-121.48319839,38.71542903,11.348527,,,,97,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,622b5e39-7a8c-4f03-a08c-74713f097b4c
-121.393090877457141,38.652636600150338,22,G0335,,McClellan,74.2,7088.050000,7088,Gas,Operating,,1,1986-03-01T00:00:00.000Z,1986,,,N,,C-6,,Sacramento,CA,1,0,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Rio Linda,Senate District 6,Assembly District 8,Congressional District 6,90-95%,91,,,"<a href=""https://earth.google.com/web/@38.6536222,-121.3911028,22.29409645a,803.42252595d,35y,0h,45t,0r/data=CjoaOBIyCgAZRHhq5KlTQ0Ah8NcJ1AdZXsAqHDM4wrAzOScxMy4wIk4gMTIxwrAyMycyOC4wIlcYAiABKAI"">Google Earth</a>",,-121.39309088,38.6526366,22.410813,,,0.010875,49,Low Income and Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,b1cd3fa6-a732-4b13-86ed-d5b2ba1e5fd5
-121.593899765426599,38.689050865667198,23,S0099, ,Solarport,0.13,,,Solar,Non-Operational,,,,,,,N,,C-6,,Sacramento,CA,,1,0,,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Taylor Monument,Senate District 6,Assembly District 7,Congressional District 6,,,,,"<a href="""">Google Earth</a>",,-121.59389977,38.68905087,6.837950,,,,179,,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,c0dbd197-2be7-40ba-a987-4dc305bbb059
-121.50621899811793,38.642734281691112,24,S0405,,Strata Roof 1,1,1475,1475,Solar,Operating,,1,2013-05-15T00:00:00.000Z,2013,,,N,,C-6,,Sacramento,CA,0,1,0,,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Taylor Monument,Senate District 6,Assembly District 7,Congressional District 6,50-55%,51,,,"<a href="""">Google Earth</a>",,-121.506219,38.64273428,4.881743,,,0.167919,32,Low Income,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,b95ce875-81d5-4cb3-b6d3-ae2d70b40e9a
-121.426600651648556,38.544374977713467,25,E0011,Blue Diamond,Blue Diamond Growers,10.5,,,Biomass,Non-Operational,,,,,,,N,,C-6,,Sacramento,CA,,1,0,,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Sacramento East,Senate District 6,Assembly District 7,Congressional District 6,55-60%,56,,,"<a href=""https://earth.google.com/web/@38.5462972,-121.4259278,15.05902494a,804.74266065d,35y,0h,45t,0r/data=CjoaOBIyCgAZvPIPEe1FQ0AhQ92sZkJbXsAqHDM4wrAzMic0Ni43Ik4gMTIxwrAyNSczMy4zIlcYAiABKAI"">Google Earth</a>",,-121.42660065,38.54437498,12.187859,,,,76,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,2e53ab8e-9b82-4ac0-8dbe-838905a58cc3
-121.473992902344534,38.511158688087569,26,G0076,"SPAC; Campbell SPAC Campbell Cogeneration Project (Sacramento Campbell Soup SPA)(
",SPAC,173.9,779728,758363,Gas,Operating,Operational,2,1997-12-01T00:00:00.000Z,1997,,"93-AFC-03, 93-AFC-03C
",Y,AFC,C-6,,Sacramento,CA,0,0,1,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Sacramento East,Senate District 6,Assembly District 7,Congressional District 6,90-95%,91,,"<a href=""http://www.energy.ca.gov/sitingcases/pre1999_page/index.php?xkm=ajdkha2385duhkasd146dsasjd5598fhajkhs"">Siting Case</a>","<a href=""https://www.google.com/maps/place/3215+47th+Ave,+Sacramento,+CA+95824/@38.5110101,-121.4739224,202m/data=!3m1!1e3!4m2!3m1!1s0x809acfd952d8f7bf:0x7d9e12d521efa58d"">Google Map</a>",,-121.4739929,38.51115869,7.455472,7,342,0.496461,42,Low Income and Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,2b2a4110-ad60-4dee-b26d-299e29764146
-121.456257995563362,38.555965148458554,27,G0639,"UC Davis Medical Center; UC Davis Co-Gen",UCD Medical,3,,,Gas,Operating,,1,1981-02-01T00:00:00.000Z,1981,2005-12-31T00:00:00.000Z,,N,,C-6,,Sacramento,CA,0,0,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Sacramento East,Senate District 6,Assembly District 7,Congressional District 6,55-60%,57,,,"<a href="""">Google Earth</a>",,-121.456258,38.55596515,8.082610,,,,85,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,cb909960-688e-4aaa-a7d8-cf55c7f4acef
-121.431487236593398,38.553967536939723,28,G0790,,SMUD HQ,0,,,Gas,Retired,,1,2000-01-01T00:00:00.000Z,2000,2000-12-31T00:00:00.000Z,,N,,C-6,,Sacramento,CA,0,0,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Sacramento East,Senate District 6,Assembly District 7,Congressional District 6,20-25%,23,,,"<a href="""">Google Earth</a>",,-121.43148724,38.55396754,10.635422,,,,143,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,366fb627-5df0-496f-9835-950e317e963b
-121.399851359189398,38.530839633278831,29,G0467,"Procter & Gamble  - SMUD; SCA; Sacramento Cogen Authority at Procter & Gamble (Cogen 2, 3, 4); Sacramento Cogeneration Authority Procter & Gamble Cogeneration Project",Procter & Gamble,193.4,803406,775384,Gas,Operating,Operational,4,1997-03-01T00:00:00.000Z,1997,,"93-AFC-02, 93-AFC-02C
",Y,AFC,C-6,,Sacramento,CA,0,0,1,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Sacramento East,Senate District 6,Assembly District 7,Congressional District 6,90-95%,95,,"<a href=""http://www.energy.ca.gov/sitingcases/procter_gamble/"">Siting Case</a>","<a href=""https://earth.google.com/web/@38.53087097,-121.40024614,30.73848037a,467.36057668d,35y,22.6538801h,60t,0r/data=CjoaOBIyCgAZ2t2ouuxDQ0AhnDgUmZRZXsAqHDM4wrAzMSc1MC40Ik4gMTIxwrAyMyc1OC45IlcYAiABKAI"">Google Earth</a>",,-121.39985136,38.53083963,13.272826,11,138000,0.456424,43,Low Income and Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,df530fd4-96fd-4230-8c5f-147518871c9e
-121.401400156341424,38.515359049801248,30,S9147,,U.S. National Leasing LLC_(Depot Park),2.5,4006,4006,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Sacramento East,Senate District 6,Assembly District 7,Congressional District 6,85-90%,87,,,"<a href="""">Google Earth</a>",,-121.40140016,38.51535905,12.214184,,,0.182423,68,Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,a0bfa3c3-a2d8-48ff-82ee-7138adc1b4a6
-121.475621376594532,38.516759088489394,31,S9139,,Campbell Soup Supply Company LLC,2,3918,3918,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Sacramento East,Senate District 6,Assembly District 7,Congressional District 6,90-95%,91,,,"<a href="""">Google Earth</a>",,-121.47562138,38.51675909,7.439734,,,0.223019,42,Low Income and Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,d5cd3b45-158f-4162-9785-29b0415bfa6b
-121.405801578029369,38.542880159047748,32,S9102,,Granite Construction Company,1.1,1703,1703,Solar,Operating,,1,2012-01-01T00:00:00.000Z,2012,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Sacramento East,Senate District 6,Assembly District 7,Congressional District 6,90-95%,95,,,"<a href="""">Google Earth</a>",,-121.40580158,38.54288016,5.620700,,,0.176250,43,Low Income and Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,d20c6367-a3e6-4e32-a754-048a3112ba06
-121.158485717324467,38.706728796711971,33,H0186,,Folsom,198.72,590814,583365,Hydro,Operating,,3,1955-05-01T00:00:00.000Z,1955,,,N,,C-6,,Sacramento,CA,0,0,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Folsom,Senate District 1,Assembly District 6,Congressional District 7,10-15%,14,,,"<a href="""">Google Earth</a>",,-121.15848572,38.7067288,60.255992,,,0.334200,134,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,a35c91ed-b877-4840-b514-2f5641fd7162
-121.220322224206654,38.637480594121079,34,H0360, ,Nimbus,13.5,59690,59456,Hydro,Operating,,2,1955-05-01T00:00:00.000Z,1955,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Folsom,Senate District 1,Assembly District 6,Congressional District 7,20-25%,23,,,"<a href="""">Google Earth</a>",,-121.22032222,38.63748059,34.875687,,,0.501383,163,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,45e9154b-f669-4cf0-a0c0-4e10c4b51aed
